movie,budge,gross,comment_count,view_count,like_count,year
Life of the Party,30000000.0,53059911.0,1205,6381533,16827,2018
Higher Power,500000.0,528.0,473,1233510,3083,2018
Breaking In,6000000.0,46840590.0,1999,3208328,24260,2018
Overboard,12000000.0,50316123.0,2129,5480293,16809,2018
Avengers: Infinity War,300000000.0,678815482.0,464912,229917606,3553094,2018
Backstabbing For Beginners,8000000.0,0.0,120,342712,1158,2018
I Feel Pretty,32000000.0,48795601.0,4674,11824443,31919,2018
Rampage,120000000.0,101028233.0,29929,42846537,255697,2018
Sgt. Stubby: An American Hero,25000000.0,3054285.0,248,439100,1774,2018
Borg vs McEnroe,7500000.0,231346.0,1109,2325203,8624,2018
Truth or Dare,3500000.0,41411015.0,8608,12856590,78083,2018
Blockers,21000000.0,60311495.0,173,740166,3792,2018
A Quiet Place,17000000.0,188024361.0,10513,21765297,76852,2018
Lean on Pete,8000000.0,1163056.0,175,527927,2375,2018
Acrimony,20000000.0,43549096.0,2986,4892942,31504,2018
Ready Player One,150000000.0,137690172.0,45242,30162809,265952,2018
"Paul, Apostle of Christ",5000000.0,17547999.0,2929,3263314,30455,2018
Unsane,1500000.0,7690044.0,2854,18631271,20091,2018
Sherlock Gnomes,59000000.0,43242871.0,1888,1981847,12771,2018
Pacific Rim: Uprising,155000000.0,59874525.0,11580,7766447,54490,2018
"Love, Simon",10000000.0,40826341.0,10758,28519165,142699,2018
Tomb Raider,90000000.0,58250803.0,23277,20115725,112107,2018
I Can Only Imagine,7000000.0,83482352.0,1497,4243937,24636,2018
The Hurricane Heist,40000000.0,6115824.0,842,4108976,7519,2018
The Strangers: Prey at Night,5000000.0,24431472.0,2678,4560913,22234,2018
A Wrinkle in Time,103000000.0,100478608.0,10191,9417835,56367,2018
Thoroughbreds,5000000.0,3072605.0,597,5489241,9077,2018
Red Sparrow,69000000.0,46874505.0,5915,29739377,56579,2018
Death Wish,30000000.0,34017028.0,1851,10916964,13085,2018
Annihilation,55000000.0,32732301.0,12361,18000917,68565,2018
Game Night,37000000.0,69179066.0,1041,9054445,20375,2018
Early Man,50000000.0,8267544.0,714,2809584,8837,2018
Black Panther,200000000.0,700059566.0,54395,44206525,446872,2018
Peter Rabbit,50000000.0,115234093.0,3370,5919670,13878,2018
The 15:17 to Paris,30000000.0,36276286.0,2503,5373423,19465,2018
Fifty Shades Freed,55000000.0,100407760.0,304,1088150,8151,2018
Blood Feast,1200000.0,8708.0,54,83942,331,2018
Winchester,3500000.0,25091816.0,1227,17065134,13551,2018
Bilal: A New Breed of Hero,30000000.0,490973.0,31,29862,340,2018
Maze Runner: The Death Cure,61000000.0,58032443.0,10302,18864418,103647,2018
Den of Thieves,30000000.0,44947622.0,1683,5976642,21869,2018
Forever My Girl,3500000.0,16376066.0,437,2402625,21401,2018
12 Strong,35000000.0,45819713.0,7140,13463692,78332,2018
The Commuter,40000000.0,36343858.0,1541,8633291,15362,2018
Proud Mary,30000000.0,20868638.0,942,3394456,8080,2018
Insidious: The Last Key,10000000.0,67745330.0,6200,21300037,125814,2018
