movie,budge,gross,comment_count,view_count,like_count,year
Bodom,1250000.0,0.0,0,628404,1584,2016
Chemical Cut,1000000.0,0.0,9,9721,39,2016
Airlift (2016),4400000.0,0.0,3223,8105785,43849,2016
Paterson,5000000.0,2141423.0,761,3261589,11002,2016
Hidden Figures,25000000.0,169607287.0,1500,7337538,11147,2016
Live by Night,65000000.0,10378555.0,1263,3325637,9754,2016
Silence,46500000.0,7100177.0,1974,3631605,14698,2016
Why Him?,38000000.0,60323786.0,2311,7696840,31728,2016
Assassins Creed,125000000.0,54647948.0,8761,14341137,82581,2016
Sing,75000000.0,270329045.0,4713,9111629,42223,2016
Passengers,110000000.0,100014699.0,16997,29961711,140219,2016
Patriots Day,40000000.0,31886361.0,3400,5742097,12672,2016
Dangal,9500000.0,12391761.0,32113,64753268,365767,2016
Rogue One: A Star Wars Story,200000000.0,532177324.0,52682,38334310,302228,2016
Fences,24000000.0,57682904.0,2231,4990323,18901,2016
Collateral Beauty,36000000.0,31016021.0,4015,11012865,53921,2016
La La Land,20000000.0,151101803.0,8213,36080584,136340,2016
Office Christmas Party,45000000.0,54767494.0,762,3449266,11229,2016
The Bounce Back,3000000.0,321910.0,112,570826,2490,2016
Oddball,7000000.0,0.0,215,1205391,1880,2016
Incarnate,5000000.0,4799774.0,499,2173652,3680,2016
Jackie,9000000.0,13960394.0,1418,4351961,13775,2016
Believe,3500000.0,890303.0,1073,1288937,12925,2016
Miss Sloane,18000000.0,3500605.0,1290,3281648,8837,2016
Lion,12000000.0,51739495.0,5184,14957304,84420,2016
Allied,106000000.0,40098064.0,1866,6186274,21112,2016
Moana,150000000.0,248757044.0,13020,35839529,150889,2016
Rules Dont Apply,26700000.0,3652206.0,428,5860482,33035,2016
Fantastic Beasts and Where to Find Them,180000000.0,234037575.0,813,2862885,12826,2016
A Street Cat Named Bob,8000000.0,82703.0,1193,2063335,14245,2016
Manchester by the Sea,8500000.0,47695371.0,2145,8621004,24108,2016
The Edge of Seventeen,9000000.0,14431633.0,817,2761265,25856,2016
Bleed for This,16000000.0,5083906.0,2732,7478861,59351,2016
The History of Love,20000000.0,0.0,61,1543504,3541,2016
Nocturnal Animals,22500000.0,10663357.0,1930,6845127,20417,2016
Billy Lynns Long Halftime Walk,40000000.0,1738477.0,1782,3406366,12496,2016
USS Indianapolis: Men of Courage,40000000.0,0.0,2140,3525849,11150,2016
Almost Christmas,17000000.0,42065185.0,1072,4951630,11033,2016
Arrival,47000000.0,100546139.0,13865,20624506,95049,2016
Shut In,10000000.0,6900335.0,586,4193556,4409,2016
Doctor Strange,165000000.0,232641920.0,28653,40125570,257664,2016
Trolls,125000000.0,153707064.0,4202,13848432,54443,2016
Loving,9000000.0,7710234.0,2421,3242914,26363,2016
Hacksaw Ridge,40000000.0,67209615.0,12465,20900372,104710,2016
Reign of Assassins,14000000.0,0.0,32,481675,406,2016
A.C.O.R.N.S.: Operation Crackdown,8500000.0,0.0,0,0,0,2016
Inferno,75000000.0,34343574.0,2421,11953280,25750,2016
Moonlight,1500000.0,27854931.0,6989,15837472,52031,2016
Jack Reacher: Never Go Back,60000000.0,58697076.0,3351,11362214,40314,2016
Ouija: Origin of Evil,9000000.0,35144505.0,3720,6954828,18701,2016
Im Not Ashamed,1500000.0,2082980.0,2221,1212363,9983,2016
31,1500000.0,779820.0,977,1769656,5879,2016
Tyler Perrys Boo! A Madea Halloween,20000000.0,73206343.0,8851,6818496,57157,2016
Mi America,2100000.0,3330.0,2,7194,9,2016
The Accountant,40000000.0,86260045.0,4077,10768558,34656,2016
Kevin Hart: What Now?,10000000.0,23591043.0,869,2561586,15086,2016
Max Steel,10000000.0,3818664.0,16433,33810034,131832,2016
The Girl on the Train,45000000.0,75395035.0,1521,4306185,12158,2016
Middle School: The Worst Years of My Life,8500000.0,20007149.0,2758,5280553,36901,2016
The Birth of a Nation,10000000.0,15861566.0,4148,2542492,8491,2016
The Birth of a Nation,110000.0,10000000.0,4148,2542492,8491,2016
Miss Peregrines Home for Peculiar Children,110000000.0,87242834.0,11177,14946326,87680,2016
American Honey,3500000.0,663247.0,1171,3488022,11274,2016
Denial,10000000.0,4073448.0,2631,1405930,6948,2016
Deepwater Horizon,156000000.0,61433527.0,1986,5712913,13226,2016
Queen of Katwe,15000000.0,8874389.0,1756,3016341,16694,2016
The Dressmaker,11900000.0,2022115.0,466,1588451,9647,2016
