Number,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
64,2016-12-31,Bodom,1250000.0,0.0,726460.0
36,2016-12-31,Chemical Cut,1000000.0,0.0,0.0
72,2016-12-31,Airlift (2016),4400000.0,0.0,9969237.0
64,2016-12-28,Paterson,5000000.0,2141423.0,10727536.0
71,2016-12-25,Hidden Figures,25000000.0,169607287.0,231771716.0
21,2016-12-25,Live by Night,65000000.0,10378555.0,21774432.0
47,2016-12-23,Silence,46500000.0,7100177.0,23726626.0
67,2016-12-23,Why Him?,38000000.0,60323786.0,117425156.0
83,2016-12-21,Assassins Creed,125000000.0,54647948.0,240759682.0
33,2016-12-21,Sing,75000000.0,270329045.0,634454789.0
31,2016-12-21,Passengers,110000000.0,100014699.0,302239672.0
74,2016-12-21,Patriots Day,40000000.0,31886361.0,52837989.0
66,2016-12-21,Dangal,9500000.0,12391761.0,294654618.0
47,2016-12-16,Rogue One: A Star Wars Story,200000000.0,532177324.0,1049102856.0
44,2016-12-16,Fences,24000000.0,57682904.0,64282881.0
18,2016-12-16,Collateral Beauty,36000000.0,31016021.0,85309093.0
99,2016-12-09,La La Land,20000000.0,151101803.0,426351163.0
86,2016-12-09,Office Christmas Party,45000000.0,54767494.0,91323299.0
49,2016-12-09,The Bounce Back,3000000.0,321910.0,421404.0
73,2016-12-06,Oddball,7000000.0,0.0,10237229.0
49,2016-12-02,Incarnate,5000000.0,4799774.0,9371036.0
97,2016-12-02,Jackie,9000000.0,13960394.0,36588512.0
23,2016-12-02,Believe,3500000.0,890303.0,890303.0
43,2016-11-25,Miss Sloane,18000000.0,3500605.0,7719630.0
68,2016-11-25,Lion,12000000.0,51739495.0,149570720.0
50,2016-11-23,Allied,106000000.0,40098064.0,119266661.0
65,2016-11-23,Moana,150000000.0,248757044.0,637517365.0
26,2016-11-23,Rules Dont Apply,26700000.0,3652206.0,3871448.0
87,2016-11-18,Fantastic Beasts and Where to Find Them,180000000.0,234037575.0,802402853.0
41,2016-11-18,A Street Cat Named Bob,8000000.0,82703.0,17382693.0
40,2016-11-18,Manchester by the Sea,8500000.0,47695371.0,77733867.0
96,2016-11-18,The Edge of Seventeen,9000000.0,14431633.0,19096003.0
72,2016-11-18,Bleed for This,16000000.0,5083906.0,6603926.0
19,2016-11-18,The History of Love,20000000.0,0.0,476624.0
10,2016-11-18,Nocturnal Animals,22500000.0,10663357.0,32398681.0
35,2016-11-11,Billy Lynns Long Halftime Walk,40000000.0,1738477.0,30230402.0
45,2016-11-11,USS Indianapolis: Men of Courage,40000000.0,0.0,1663785.0
88,2016-11-11,Almost Christmas,17000000.0,42065185.0,42493506.0
38,2016-11-11,Arrival,47000000.0,100546139.0,203127894.0
59,2016-11-11,Shut In,10000000.0,6900335.0,11360665.0
30,2016-11-04,Doctor Strange,165000000.0,232641920.0,676404566.0
76,2016-11-04,Trolls,125000000.0,153707064.0,344150134.0
2,2016-11-04,Loving,9000000.0,7710234.0,12898064.0
22,2016-11-04,Hacksaw Ridge,40000000.0,67209615.0,168904682.0
35,2016-11-01,Reign of Assassins,14000000.0,0.0,11354230.0
61,2016-11-01,A.C.O.R.N.S.: Operation Crackdown,8500000.0,0.0,1353287.0
68,2016-10-28,Inferno,75000000.0,34343574.0,219519367.0
74,2016-10-21,Moonlight,1500000.0,27854931.0,65245512.0
89,2016-10-21,Jack Reacher: Never Go Back,60000000.0,58697076.0,159946489.0
85,2016-10-21,Ouija: Origin of Evil,9000000.0,35144505.0,81831866.0
91,2016-10-21,Im Not Ashamed,1500000.0,2082980.0,2082980.0
95,2016-10-21,31,1500000.0,779820.0,922727.0
16,2016-10-21,Tyler Perrys Boo! A Madea Halloween,20000000.0,73206343.0,73206343.0
91,2016-10-16,Mi America,2100000.0,3330.0,3330.0
5,2016-10-14,The Accountant,40000000.0,86260045.0,152962083.0
6,2016-10-14,Kevin Hart: What Now?,10000000.0,23591043.0,23591043.0
78,2016-10-14,Max Steel,10000000.0,3818664.0,4563080.0
73,2016-10-07,The Girl on the Train,45000000.0,75395035.0,174278214.0
49,2016-10-07,Middle School: The Worst Years of My Life,8500000.0,20007149.0,23311293.0
26,2016-10-07,The Birth of a Nation,10000000.0,15861566.0,16891011.0
33,2016-09-30,Miss Peregrines Home for Peculiar Children,110000000.0,87242834.0,295986876.0
25,2016-09-30,American Honey,3500000.0,663247.0,2611750.0
76,2016-09-30,Denial,10000000.0,4073448.0,9263940.0
50,2016-09-30,Deepwater Horizon,156000000.0,61433527.0,122603824.0
13,2016-09-23,Queen of Katwe,15000000.0,8874389.0,10055481.0
65,2016-09-23,The Dressmaker,11900000.0,2022115.0,24041617.0
58,2016-09-23,The Magnificent Seven,90000000.0,93432655.0,162525156.0
19,2016-09-23,Storks,70000000.0,72679278.0,183353431.0
8,2016-09-16,Bridget Joness Baby,35000000.0,24139805.0,205822688.0
83,2016-09-16,Snowden,50000000.0,21587519.0,35380918.0
10,2016-09-16,Blair Witch,10000000.0,20777061.0,38985577.0
94,2016-09-09,When the Bough Breaks,10000000.0,29747603.0,30768449.0
95,2016-09-09,Robinson Crusoe,13000000.0,8005586.0,42446455.0
37,2016-09-09,The Disappointments Room,15000000.0,2423467.0,3503761.0
23,2016-09-09,Kicks,10000000.0,150191.0,150191.0
54,2016-09-09,Sully,60000000.0,125070033.0,238524556.0
59,2016-09-02,Antibirth,2500000.0,0.0,0.0
96,2016-09-02,Yoga Hosers,5000000.0,0.0,22958.0
15,2016-09-02,Morgan,8000000.0,3915251.0,7298786.0
41,2016-09-02,The Light Between Oceans,20000000.0,12545979.0,22281732.0
14,2016-08-26,Greater,9000000.0,2000093.0,2000093.0
99,2016-08-26,Mechanic: Resurrection,40000000.0,21218403.0,109738840.0
48,2016-08-26,Dont Breathe,10000000.0,89217875.0,158973685.0
81,2016-08-26,Hands of Stone,20000000.0,4712792.0,5031975.0
26,2016-08-19,Kubo and the Two Strings,55000000.0,48023088.0,77548122.0
26,2016-08-19,Ben-Hur,95000000.0,26410477.0,91669648.0
49,2016-08-19,War Dogs,50000000.0,43034523.0,86234503.0
35,2016-08-12,Sausage Party,19000000.0,97670358.0,141344255.0
29,2016-08-12,Florence Foster Jenkins,29000000.0,27383770.0,56000339.0
85,2016-08-12,Hell or High Water,12000000.0,27007844.0,37584304.0
95,2016-08-12,Petes Dragon,65000000.0,76233151.0,137768975.0
2,2016-08-05,Suicide Squad,175000000.0,325100054.0,746059887.0
