Number,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
47,2014-12-31,Happy 40th,35000.0,0.0,0.0
65,2014-12-31,Dry Spell,22000.0,0.0,0.0
32,2014-12-31,Bang Bang Baby,1000000.0,0.0,0.0
37,2014-12-31,Kurmanjan datka,1400000.0,0.0,0.0
38,2014-12-31,House at the End of the Drive,1400000.0,0.0,0.0
34,2014-12-31,Pancakes,400000.0,0.0,0.0
13,2014-12-31,Rise Of the Entrepreneur - The Search For A Better Way,450000.0,0.0,0.0
46,2014-12-31,Dragon Nest Warriors' Dawn,40000000.0,0.0,734423.0
28,2014-12-31,Doc Holliday's Revenge,1000000.0,0.0,0.0
91,2014-12-31,Diamond Ruff,500000.0,0.0,0.0
73,2014-12-31,Stories of Our Lives,15000.0,0.0,0.0
56,2014-12-31,40 Weeks,900000.0,0.0,0.0
61,2014-12-31,Not Safe For Work,2500000.0,0.0,0.0
100,2014-12-31,The Sound and the Shadow,500000.0,0.0,0.0
11,2014-12-31,Horse Camp,250000.0,0.0,0.0
75,2014-12-31,A Most Violent Year,20000000.0,5749134.0,8846875.0
37,2014-12-31,The Image Revolution,50000.0,0.0,0.0
87,2014-12-31,America Is Still The Place,500000.0,0.0,0.0
53,2014-12-31,H.,200000.0,0.0,0.0
2,2014-12-31,Lucky Dog,2000000.0,0.0,0.0
95,2014-12-31,Destiny,750000.0,0.0,450.0
14,2014-12-31,The Hadza: Last of the First,650000.0,0.0,0.0
30,2014-12-31,Light from the Darkroom,600000.0,0.0,0.0
4,2014-12-31,"Dude, Where's My Dog",100000.0,0.0,0.0
42,2014-12-26,Barbecue,10000000.0,388.0,247565.0
86,2014-12-25,Unbroken,65000000.0,115637895.0,163527824.0
32,2014-12-25,Big Eyes,10000000.0,14482031.0,27317872.0
81,2014-12-25,Into the Woods,56200000.0,128002372.0,213116401.0
61,2014-12-25,American Sniper,58000000.0,350126372.0,547326372.0
63,2014-12-19,Night at the Museum: Secret of the Tomb,127000000.0,113746621.0,353756621.0
25,2014-12-19,Mr. Turner,14000000.0,3958546.0,25187026.0
93,2014-12-19,Annie,65000000.0,85911262.0,139829625.0
23,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000.0,255119788.0,945577621.0
19,2014-12-12,Exodus: Gods and Kings,140000000.0,65014513.0,268314513.0
88,2014-12-12,Top Five,12000000.0,25317379.0,26001741.0
63,2014-12-12,Inherent Vice,20000000.0,8110975.0,14772346.0
32,2014-12-10,The Gambler,25000000.0,33680992.0,38718031.0
95,2014-12-05,Dying of the Light,5000000.0,0.0,74639.0
40,2014-12-03,Wild,15000000.0,37880356.0,52460543.0
51,2014-11-28,The Babadook,2000000.0,950792.0,7482387.0
81,2014-11-28,Antarctica: A Year on Ice,1000000.0,288757.0,288757.0
13,2014-11-28,The Imitation Game,15000000.0,91125143.0,227740463.0
36,2014-11-26,Horrible Bosses 2,40000000.0,54445357.0,105945357.0
40,2014-11-26,Penguins of Madagascar,132000000.0,83350911.0,366942531.0
65,2014-11-21,The Hunger Games: Mockingjay - Part 1,125000000.0,337135885.0,766575131.0
47,2014-11-21,Food Chains,913000.0,0.0,176.0
100,2014-11-21,Reach Me,5000000.0,0.0,0.0
12,2014-11-21,The Sleepwalker,1100000.0,2636.0,2636.0
26,2014-11-14,Beyond the Lights,7000000.0,14618727.0,14618727.0
77,2014-11-14,The Homesman,16000000.0,2429989.0,8217571.0
84,2014-11-14,Rosewater,10000000.0,3128941.0,3185717.0
67,2014-11-14,Always Woodstock,2400000.0,0.0,0.0
58,2014-11-14,Wolves,18000000.0,0.0,94953.0
6,2014-11-14,Dumb and Dumber To,40000000.0,86208010.0,156553592.0
23,2014-11-11,Once Upon a Time in Queens,1500000.0,0.0,0.0
66,2014-11-07,Fugly,4500000.0,0.0,0.0
31,2014-11-07,Big Hero 6,165000000.0,222527828.0,652127828.0
42,2014-11-07,The Theory of Everything,15000000.0,35893537.0,123327692.0
34,2014-11-07,Elsa & Fred,10000000.0,67657.0,197901.0
34,2014-11-05,Interstellar,165000000.0,188017894.0,666379375.0
70,2014-10-31,All You Need Is Love,300000.0,0.0,3565259.0
56,2014-10-31,Before I Go to Sleep,22000000.0,3242457.0,19563579.0
44,2014-10-31,Nightcrawler,8500000.0,32381218.0,50334418.0
80,2014-10-27,Iguana,3000000.0,0.0,0.0
74,2014-10-24,23 Blast,1000000.0,549185.0,549185.0
12,2014-10-24,John Wick,30000000.0,43037835.0,76206239.0
70,2014-10-24,Ouija,5000000.0,50856010.0,103300632.0
61,2014-10-17,Dear White People,1250000.0,4404154.0,5403771.0
17,2014-10-17,Housebound,1500000.0,0.0,236863.0
73,2014-10-17,Fury,80000000.0,85817906.0,210315681.0
93,2014-10-17,Birdman or (The Unexpected Virtue of Ignorance),18000000.0,42340598.0,103215094.0
88,2014-10-17,Rudderless,5000000.0,56001.0,567219.0
49,2014-10-17,The Best of Me,26000000.0,26766213.0,41059418.0
3,2014-10-17,Camp X-Ray,1000000.0,9837.0,101053.0
39,2014-10-17,The Book of Life,50000000.0,50151543.0,97651543.0
53,2014-10-10,Whiplash,3300000.0,13092006.0,38969037.0
68,2014-10-10,St. Vincent,13000000.0,44137712.0,54837234.0
19,2014-10-10,Meet the Mormons,2000000.0,6047363.0,6049171.0
51,2014-10-10,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000.0,66954149.0,101379287.0
25,2014-10-10,Dracula Untold,70000000.0,55991880.0,220241723.0
61,2014-10-10,Kill the Messenger,5000000.0,2450846.0,6656705.0
6,2014-10-10,Addicted,5000000.0,17390770.0,17499242.0
45,2014-10-10,The Judge,50000000.0,47119388.0,76119388.0
63,2014-10-10,Autmata,15000000.0,0.0,6775458.0
94,2014-10-03,Annabelle,6500000.0,84273813.0,256862920.0
33,2014-10-03,La chambre bleue,1400000.0,260441.0,1945420.0
64,2014-10-03,Left Behind,16000000.0,14019924.0,20769209.0
62,2014-10-03,Drive Hard,12000000.0,0.0,0.0
40,2014-10-03,Gone Girl,61000000.0,167767189.0,368567189.0
83,2014-10-01,"Men, Women and Children",16000000.0,705908.0,1685403.0
49,2014-09-26,Plastic,10000000.0,0.0,575371.0
98,2014-09-26,The Boxtrolls,60000000.0,50837305.0,111946251.0
76,2014-09-26,Jimi: All is By My Side,5000000.0,340911.0,927074.0
100,2014-09-26,The Equalizer,55000000.0,101530738.0,192903624.0
70,2014-09-26,Two Night Stand,1600000.0,15600.0,868081.0
67,2014-09-19,Pump,2000000.0,72277.0,72277.0
66,2014-09-19,The Maze Runner,34000000.0,102427862.0,348319861.0
80,2014-09-19,Not Cool,800000.0,35688.0,35688.0
74,2014-09-19,A Walk Among the Tombstones,28000000.0,26017685.0,62108587.0
38,2014-09-19,Tusk,3000000.0,1821983.0,1887554.0
64,2014-09-19,This is Where I Leave You,20000000.0,34296320.0,41296320.0
38,2014-09-12,Faith Connections,550000.0,9111.0,9111.0
70,2014-09-12,Atlas Shrugged: Who Is John Galt?,5000000.0,851690.0,851690.0
24,2014-09-12,The Drop,12600000.0,10724389.0,19054534.0
