Number,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
34,2015-12-31,Julija in alfa Romeo,560000.0,0.0,8462.0
64,2015-12-31,Chiamatemi Francesco - Il papa della gente,15000000.0,0.0,3925769.0
58,2015-12-31,San cheng ji,12000000.0,0.0,1950194.0
5,2015-12-31,Sardaar Ji,2700000.0,0.0,8200000.0
75,2015-12-31,Walking to Paris,300000.0,0.0,0.0
90,2015-12-31,"To Be Frank, Sinatra at 100",2000000.0,0.0,926.0
9,2015-12-31,Wind Walkers,2000000.0,0.0,0.0
74,2015-12-31,Pourquoi j'ai pas mang mon pre,42000000.0,0.0,15451663.0
83,2015-12-31,Unnatural,3000000.0,0.0,0.0
24,2015-12-31,Vaalu,1900000.0,0.0,12444.0
76,2015-12-31,Escaping the Holocost,150000.0,0.0,0.0
74,2015-12-31,The Veil,4000000.0,0.0,0.0
64,2015-12-31,Lumea e a mea,168000.0,0.0,29678.0
83,2015-12-31,Romantic Schemer,125000.0,0.0,0.0
1,2015-12-31,Rodeo Girl,500000.0,0.0,0.0
7,2015-12-31,Lunchtime Heroes,100000.0,0.0,0.0
56,2015-12-31,Henry Joseph Church,8000000.0,0.0,0.0
94,2015-12-31,Fight to the Finish,500000.0,0.0,0.0
7,2015-12-31,Aztec Warrior,5000000.0,0.0,0.0
75,2015-12-31,Geroy,7000000.0,0.0,1545121.0
75,2015-12-31,AWOL-72,3000000.0,0.0,0.0
14,2015-12-31,Shooting the Warwicks,250000.0,0.0,0.0
12,2015-12-31,Karachi se Lahore,1000000.0,0.0,17721.0
16,2015-12-30,Anomalisa,8000000.0,3759286.0,5706168.0
85,2015-12-25,Concussion,35000000.0,34531832.0,50363790.0
30,2015-12-25,The Revenant,135000000.0,183637894.0,532938302.0
37,2015-12-25,The Hateful Eight,62000000.0,54117416.0,147864886.0
92,2015-12-25,Joy,60000000.0,56451232.0,101134059.0
92,2015-12-25,Daddys Home,50000000.0,150357137.0,242757137.0
3,2015-12-25,Point Break,100000000.0,28782481.0,126704591.0
37,2015-12-22,Por amor en el caserio,1000000.0,0.0,0.0
7,2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000.0,936662225.0,2053311220.0
59,2015-12-18,Alvin and the Chipmunks: The Road Chip,90000000.0,85886987.0,249517956.0
63,2015-12-18,Sisters,30000000.0,87044645.0,106030660.0
55,2015-12-18,Saul fia,1700000.0,1777043.0,9696537.0
4,2015-12-11,In the Heart of the Sea,100000000.0,25020758.0,89693309.0
49,2015-12-11,The Big Short,28000000.0,70259870.0,133162752.0
65,2015-12-11,O Menino e o Mundo,500000.0,129479.0,280967.0
14,2015-12-11,American Hero,1000000.0,0.0,26.0
84,2015-12-11,Close Range,3000000.0,0.0,0.0
56,2015-12-11,The Ridiculous 6,60000000.0,0.0,0.0
77,2015-12-08,Amidst the Devil's Wings,300000.0,0.0,0.0
6,2015-12-04,Youth,13000000.0,2703296.0,24001573.0
35,2015-12-04,Krampus,15000000.0,42725475.0,61788393.0
15,2015-12-01,Grace of Monaco,30000000.0,0.0,25199891.0
11,2015-12-01,Shark Lake,2000000.0,0.0,0.0
99,2015-12-01,Brooklyn Bizarre,500000.0,0.0,0.0
63,2015-12-01,Dutch Kills,25000.0,0.0,0.0
29,2015-11-25,Victor Frankenstein,40000000.0,5775076.0,31124367.0
75,2015-11-25,The Good Dinosaur,187500000.0,123087120.0,333771037.0
96,2015-11-25,Creed,37000000.0,109767581.0,173567581.0
13,2015-11-20,The Night Before,25000000.0,43035725.0,52427346.0
31,2015-11-20,Mustang,1400000.0,845464.0,5552584.0
26,2015-11-20,#Horror,1500000.0,0.0,0.0
1,2015-11-20,Secret in Their Eyes,20000000.0,20180155.0,32608019.0
9,2015-11-20,Siakh lokhamim: ha'slilim ha'gnouzim,450000.0,41260.0,42503.0
42,2015-11-20,The Hunger Games: Mockingjay - Part 2,160000000.0,281723902.0,648986787.0
17,2015-11-20,Legend,25000000.0,1872994.0,42425450.0
68,2015-11-20,Carol,11800000.0,12711491.0,42843521.0
77,2015-11-20,Criminal Activities,7000000.0,0.0,386744.0
85,2015-11-13,The 33,25000000.0,12227722.0,28400715.0
5,2015-11-13,Love the Coopers,18000000.0,26302731.0,42227490.0
4,2015-11-13,By the Sea,20000000.0,538460.0,3727746.0
92,2015-11-13,My All-American,20000000.0,2246000.0,2246000.0
35,2015-11-13,Heist,8900000.0,50136.0,3324131.0
56,2015-11-11,10 Days in a Madhouse,12000000.0,14616.0,14616.0
2,2015-11-10,The Little Ponderosa Zoo,500000.0,0.0,0.0
52,2015-11-10,Perfect Cowboy,200000.0,0.0,0.0
9,2015-11-10,The Night Visitor,100000.0,0.0,0.0
11,2015-11-06,Spectre,300000000.0,200074175.0,879620923.0
41,2015-11-06,Spotlight,20000000.0,45055776.0,92088460.0
10,2015-11-06,The Peanuts Movie,99000000.0,130178411.0,250091610.0
88,2015-11-04,Brooklyn,11000000.0,38322743.0,62076141.0
68,2015-11-03,The Final Girls,4500000.0,0.0,0.0
34,2015-10-30,Burnt,20000000.0,13651946.0,36773510.0
85,2015-10-30,Our Brand is Crisis,28000000.0,7002261.0,8594558.0
13,2015-10-30,Regression,20000000.0,55039.0,15824374.0
32,2015-10-30,Scouts Guide to the Zombie Apocalypse,15000000.0,3703046.0,15554855.0
63,2015-10-30,Dancin' It's On,12000000.0,0.0,0.0
89,2015-10-30,Freaks of Nature,33000000.0,70958.0,70958.0
10,2015-10-27,Running Forever,5000000.0,0.0,0.0
35,2015-10-27,The Horror Network,1000000.0,0.0,0.0
35,2015-10-23,Rock the Kasbah,15000000.0,3020665.0,3386153.0
100,2015-10-23,The Last Witch Hunter,80000000.0,27367660.0,130818912.0
87,2015-10-23,Bone Tomahawk,2000000.0,0.0,475846.0
63,2015-10-23,Jem and the Holograms,5000000.0,2184640.0,2368937.0
23,2015-10-23,Suffragette,14000000.0,4702420.0,34044909.0
16,2015-10-23,Paranormal Activity: The Ghost Dimension,10000000.0,18297124.0,77959374.0
69,2015-10-23,The Looking Glass,300000.0,1711.0,1711.0
