movie_trailer,video_id,video_title,channel_name,channel_id,comment_count,view_count,like_count,date_published,Year
Gods Not Dead 2 Official Trailer,Sxz-Y-c2UUc,"God's Not Dead 2 Official Trailer #1 (2016) - Melissa Joan Hart, Jesse Metcalfe Drama HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,16858,3393814,21163,2015-11-05T17:47:10.000Z,2016
Meet the Blacks Official Trailer,ivqhlpUCnZY,"Meet the Blacks Official Trailer #1 (2016) - Mike Epps, George Lopez Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,3355,7861769,34787,2016-01-14T17:29:46.000Z,2016
Everybody Wants Some Official Trailer,y6raUs0CiCQ,"Everybody Wants Some!! Official Trailer #1 (2016) -  Glen Powell, Tyler Hoechlin Comedy HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,854,2847210,7226,2015-12-22T17:32:59.000Z,2016
Batman v Superman: Dawn of Justice Official Trailer,bha24P9uw-E,"Batman v Superman: Dawn of Justice Official Trailer #1 (2016) - Henry Cavill, Ben Affleck Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,7482,11794706,54111,2015-07-11T19:18:05.000Z,2016
My Big Fat Greek Wedding 2 Official Trailer,JQ-1Ts3BChM,My Big Fat Greek Wedding 2 - Official Trailer (HD),Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,848,5098536,7924,2015-11-11T16:55:53.000Z,2016
The Lobster Official Trailer,vU29VfayDMw,"The Lobster Official Trailer #1 (2016) -  Jacqueline Abrahams, Roger Ashton-Griffiths Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,744,2034004,9360,2016-02-08T16:28:52.000Z,2016
Krisha Official Trailer,wnX_lLuENfI,Krisha | Official Trailer HD | A24,A24,UCuPivVjnfNo4mb3Oog_frZg,110,300438,863,2015-11-23T14:00:04.000Z,2016
The Bronze Official Trailer,6B7JH30oCME,The Bronze | Official Trailer HD (2016),Sony Pictures Classics,UCruD_lL-5fmllpKMSL-yCyQ,315,1030646,2651,2016-01-28T15:37:24.000Z,2016
The Divergent Series: Allegiant Official Trailer,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,The Divergent Series,UCmWg2aswsWFGmvkYymVnl8A,4788,8423144,34156,2015-11-13T22:10:37.000Z,2016
Midnight Special Official Trailer,1zuQTmVCEn4,"Midnight Special Official Trailer #1 (2016) -  Joel Edgerton, Kirsten Dunst Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,907,3804897,8443,2015-11-19T18:44:55.000Z,2016
Miracles from Heaven Official Trailer,CldGTG6iVrU,MIRACLES FROM HEAVEN - Official Trailer (ft. Jennifer Garner),Sony Pictures Entertainment,UCz97F7dMxBNOfGYu3rx8aCw,5340,9471930,57030,2015-11-11T14:21:14.000Z,2016
The Hatching Official Trailer,UOqgbJmqtWY,The Hatching (2017) Trailer,Wicked Thrilling Freaks,UCebJkR9u7tE2l_ZDwRlvEIw,1,3949,13,2018-12-01T11:38:53.000Z,2016
"Hello, My Name is Doris Official Trailer",L6vBnnryIug,"Hello, My Name Is Doris Official Trailer #1 (2015) - Sally Field, Max Greenfield Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,796,2979825,13958,2015-10-30T00:18:59.000Z,2016
10 Cloverfield Lane Official Trailer,saHzng8fxLs,"10 Cloverfield Lane Official Trailer #1 (2016) -  Mary Elizabeth Winstead, John Goodman Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,6791,10153984,34211,2016-01-15T08:15:16.000Z,2016
The Perfect Match Official Trailer,vKCFkFaIwU0,"The Perfect Match Official Trailer #1 (2016) - Donald Faison, Paula Patton Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,1146,6948995,25993,2016-01-18T18:33:20.000Z,2016
Everybody Wants Some Official Trailer,y6raUs0CiCQ,"Everybody Wants Some!! Official Trailer #1 (2016) -  Glen Powell, Tyler Hoechlin Comedy HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,854,2847210,7226,2015-12-22T17:32:59.000Z,2016
Batman v Superman: Dawn of Justice Official Trailer,bha24P9uw-E,"Batman v Superman: Dawn of Justice Official Trailer #1 (2016) - Henry Cavill, Ben Affleck Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,7482,11794706,54111,2015-07-11T19:18:05.000Z,2016
My Big Fat Greek Wedding 2 Official Trailer,JQ-1Ts3BChM,My Big Fat Greek Wedding 2 - Official Trailer (HD),Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,848,5098536,7924,2015-11-11T16:55:53.000Z,2016
The Lobster Official Trailer,vU29VfayDMw,"The Lobster Official Trailer #1 (2016) -  Jacqueline Abrahams, Roger Ashton-Griffiths Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,744,2034007,9360,2016-02-08T16:28:52.000Z,2016
Krisha Official Trailer,wnX_lLuENfI,Krisha | Official Trailer HD | A24,A24,UCuPivVjnfNo4mb3Oog_frZg,110,300440,863,2015-11-23T14:00:04.000Z,2016
The Bronze Official Trailer,6B7JH30oCME,The Bronze | Official Trailer HD (2016),Sony Pictures Classics,UCruD_lL-5fmllpKMSL-yCyQ,315,1030647,2651,2016-01-28T15:37:24.000Z,2016
The Divergent Series: Allegiant Official Trailer,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,The Divergent Series,UCmWg2aswsWFGmvkYymVnl8A,4788,8423148,34156,2015-11-13T22:10:37.000Z,2016
