movie,budge,gross,comment_count,view_count,like_count,year
Kubo and the Two Strings,55000000.0,77548122.0,560,3662570,6660,2016
Ben-Hur,95000000.0,91669648.0,4140,8187245,16452,2016
Ben-Hur,15000000.0,73259017.0,4140,8187245,16452,2016
War Dogs,50000000.0,86234503.0,2734,11890399,29450,2016
Sausage Party,19000000.0,141344255.0,7094,12058211,52807,2016
Florence Foster Jenkins,29000000.0,56000339.0,583,1966924,7064,2016
Hell or High Water,12000000.0,37584304.0,1073,5980146,9786,2016
Petes Dragon,65000000.0,137768975.0,4379,10725521,34095,2016
Petes Dragon,10000000.0,36000000.0,4379,10725521,34095,2016
Suicide Squad,175000000.0,746059887.0,80877,88265995,683720,2016
Operation Chromite,12700000.0,49196532.0,356,1532092,2714,2016
Jason Bourne,120000000.0,416168316.0,3020,11210502,34366,2016
The Land,1000000.0,43756.0,615,674041,5484,2016
Bad Moms,20000000.0,180998716.0,2290,14882196,19824,2016
Nerve,20000000.0,70652284.0,12418,34479307,176485,2016
Star Trek Beyond,185000000.0,335802233.0,3495,4313284,23556,2016
Dont Think Twice,3000000.0,4417983.0,204,1283452,2210,2016
Ice Age: Collision Course,105000000.0,402156682.0,2339,6465922,14890,2016
Lights Out,5000000.0,148806510.0,9745,22377033,76123,2016
Fight Valley,20000000.0,0.0,62,115638,220,2016
Hillarys America: The Secret History of the Democratic Party,5000000.0,13099931.0,918,400289,7555,2016
Ghostbusters,144000000.0,229008658.0,263926,45642090,307122,2016
Ghostbusters,30000000.0,295212467.0,263926,45642090,307122,2016
The Infiltrator,47500000.0,20718104.0,1256,4150838,10963,2016
Mike and Dave Need Wedding Dates,33000000.0,75898100.0,1197,8054459,19721,2016
The Dog Lover,2000000.0,0.0,74,155817,325,2016
The Secret Life of Pets,75000000.0,886614798.0,1910,9890339,25804,2016
Sultan,11000000.0,72989781.0,18202,43662640,219338,2016
The Legend of Tarzan,180000000.0,348902025.0,5258,14688333,53386,2016
The BFG,140000000.0,199646680.0,6025,9323357,30912,2016
The Purge: Election Year,10000000.0,118514727.0,8771,9474256,37215,2016
Independence Day: Resurgence,165000000.0,384169424.0,15035,26701694,95316,2016
The Neon Demon,7500000.0,3559803.0,4442,9800274,38442,2016
Hunt for the Wilderpeople,2500000.0,23845533.0,439,1786623,6315,2016
The Shallows,13000000.0,118763442.0,10821,22038239,73344,2016
Free State of Jones,50000000.0,23237252.0,1935,5646547,7383,2016
Swiss Army Man,3000000.0,5837111.0,10422,17829817,73137,2016
Finding Dory,200000000.0,1021215193.0,1609,5083123,23541,2016
Central Intelligence,50000000.0,217194805.0,982,5037778,24316,2016
The Conjuring 2: The Enfield Poltergeist,40000000.0,311262102.0,7962,26762163,86551,2016
Now You See Me 2,90000000.0,328325007.0,2924,9631658,50010,2016
Genius,17000000.0,7265283.0,11501,27480978,172978,2016
