movie,budge,gross,comment_count,view_count,like_count
Borg vs McEnroe,7500000.0,3257922.0,1109,2325203,8624
Truth or Dare,3500000.0,95127344.0,8608,12856590,78083
Blockers,21000000.0,94045328.0,173,740166,3792
A Quiet Place,17000000.0,336157526.0,10513,21765297,76852
Lean on Pete,8000000.0,2455027.0,175,527927,2375
Acrimony,20000000.0,46627836.0,2986,4892942,31504
Ready Player One,150000000.0,579290136.0,45242,30162809,265952
"Paul, Apostle of Christ",5000000.0,25529498.0,2929,3263314,30455
Unsane,1500000.0,14244931.0,2854,18631271,20091
Sherlock Gnomes,59000000.0,87527651.0,1888,1981847,12771
Pacific Rim: Uprising,155000000.0,290930148.0,11580,7766447,54490
"Love, Simon",10000000.0,65520633.0,10758,28519165,142699
Tomb Raider,90000000.0,273477501.0,23277,20115725,112107
I Can Only Imagine,7000000.0,85642586.0,1497,4243937,24636
The Hurricane Heist,40000000.0,30963684.0,842,4108976,7519
The Strangers: Prey at Night,5000000.0,32144262.0,2678,4560913,22234
A Wrinkle in Time,103000000.0,133401882.0,10191,9417835,56367
Thoroughbreds,5000000.0,3187302.0,597,5489241,9077
Red Sparrow,69000000.0,145951861.0,5915,29739377,56579
Death Wish,30000000.0,48575965.0,1851,10916964,13085
Annihilation,55000000.0,43070915.0,12361,18000917,68565
Game Night,37000000.0,117378084.0,1041,9054445,20375
Early Man,50000000.0,45285890.0,714,2809584,8837
Black Panther,200000000.0,1348258224.0,54395,44206525,446872
Peter Rabbit,50000000.0,347132280.0,3370,5919670,13878
The 15:17 to Paris,30000000.0,56096200.0,2503,5373423,19465
Fifty Shades Freed,55000000.0,371350619.0,304,1088150,8151
Blood Feast,1200000.0,8708.0,54,83942,331
Winchester,3500000.0,45960255.0,1227,17065134,13551
Bilal: A New Breed of Hero,30000000.0,648599.0,31,29862,340
Maze Runner: The Death Cure,61000000.0,265878536.0,10302,18864418,103647
Den of Thieves,30000000.0,80131391.0,1683,5976642,21869
Forever My Girl,3500000.0,16376066.0,437,2402625,21401
12 Strong,35000000.0,71118378.0,7140,13463692,78332
The Commuter,40000000.0,101985431.0,1541,8633291,15362
Proud Mary,30000000.0,21709539.0,942,3394456,8080
Insidious: The Last Key,10000000.0,172811971.0,6200,21300037,125814
